[0003.95-0007.79] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0007.79-0013.47] 從本節課開始,我們要用八節課的時間學習指令流水線的相關知識
[0013.47-0017.07] 本節課,我們對指令流水線進行代數
[0017.07-0024.19] 之前,我們在本章介紹Mips指令的執行方法時,採用的是串形執行方法
[0024.19-0028.03] 同一時刻,CPU中僅有一條指令在執行
[0028.03-0031.71] 因此,CPU中的各功能部價的使用率不高
[0031.87-0037.23] 為了提高CPU中各功能部件的病情性以及程序的執行效率
[0037.23-0040.91] 和採用指令流水線技術來並行執行指令
[0040.91-0047.71] 也就是說,同一時刻有多條指令在CPU中的不同功能部件中並發執行
[0047.71-0051.71] 現在計算機普遍都採用指令流水線技術
[0051.71-0054.94] 指令流水線是一種時間病情技術
[0054.94-0058.46] 它將指令處理的過程劃分為多個階段
[0058.62-0062.70] 並讓不同指令的各個階段在時間上重疊執行
[0062.70-0068.62] 這使得同一時刻,一條流水線上可有多條指令處於不同階段
[0068.62-0074.70] 從而用同一套硬件實現了指令級的病情,顯著提升了系統性能
[0074.70-0080.70] 接下來,我們以Mips32指令系統為例,介紹指令流水線的相關概念
[0080.70-0087.66] 如讀所示,將Mips32指令的執行過程劃分為五個階段,也稱為功能段
[0087.82-0094.78] 分別是取指、一碼、執行、仿存、寫回,這五個階段
[0094.78-0099.26] 途中給出了它們各自的英文書寫詞,需要同學們記住
[0099.26-0104.93] 在取指階段,所完成的工作是從指令存儲器中取出指令
[0104.93-0112.83] 在一碼階段,所完成的工作是對指令進行一碼,同時從記存器組中取操作數
[0113.23-0118.91] 在執行階段,所完成的工作是執行運算操作或計算地址
[0118.91-0124.99] 在仿存階段,所完成的工作是對存儲器進行讀寫操作
[0124.99-0131.39] 在寫回階段,所完成的工作是將指令的執行結果寫回記存記組
[0131.39-0137.10] 上述每個階段或者說功能段,都有相應的功能部件來完成
[0137.34-0144.30] 在MIPS的單週期實現中,上述五個功能段都是串形連接在一起的,如讀所示
[0144.30-0149.73] 將程序技術器PC的值送入取指功能段取指令
[0149.73-0155.97] 之後,依次進入一碼、執行、仿存和寫回功能段進行處理
[0155.97-0161.79] 請同學們注意,並不是所有指令都必須經歷上述五個功能段
[0161.79-0166.99] 但只能以執行速度最慢的指令作為設計時鐘週期的依據
[0167.30-0172.10] 單週期CPU的始鐘週期,由數據通路中的最長路徑決定
[0172.10-0175.70] 也就是上述五個功能段的延遲總和
[0175.70-0180.18] 接下來,我們畫出單週期MIPSCPU的時空圖
[0180.18-0185.94] 橫坐標表示時間,縱坐標表示空間,也就是上述五個功能段
[0185.94-0190.86] 橫坐標被劃分成若干個長度相同的時間段T
[0190.86-0197.02] 為了簡單起見,假設指令執行過程中,各功能段的時間延遲均為T
[0197.38-0202.26] 在第一個時間段T中,指令一在旗幟功能部件中處理
