[0003.89-0008.21] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0008.21-0016.01] 在上节课中,我们首先给同学们介绍了夜市虚拟存主器所采用的全相连硬射方式
[0016.01-0025.61] 以及用于记录进程中各个虚拟业与所存放的主存物理业或磁盘上存储位置之间的关系的业表
[0025.61-0032.22] 之后,我们给同学们介绍了夜市虚拟存主器所使用的虚拟地址的构成
[0032.42-0038.82] 并举例说明了MIMU将虚拟地址转换为主存的物理地址的过程
[0038.82-0044.54] 例如,这是转换成功的情况,这是缺义的情况
[0044.54-0053.64] 在同学们具备了上述知识的基础上,本节课我们给同学们介绍夜市虚拟存主器的访问流程
[0053.64-0059.22] 这是CPU,存主器管理单元MIMU以及主存
[0059.81-0067.46] 步骤1,CPU给出一个虚拟地址,由MIMU负责对该虚拟地址进行转换
[0067.46-0076.10] 步骤2,MIMU利用夜表集纸基存器的纸和该虚拟地址中的虚拟业号部分生成夜表向地址
[0076.10-0080.66] 通过夜表向地址访问主存中的相应夜表向
[0080.66-0085.54] 步骤3,主存给MIMU返回夜表向
[0086.33-0096.33] 步骤4,若夜表向中的有效位置取之为1,则表明该夜表向所对应的虚拟业已从辅存调入的主存
[0096.33-0100.74] 夜表向中的存放位置自断存放的是物理业号
[0100.74-0106.66] 用物理业号与虚拟地址中的业内偏易部分构造出物理地址
[0106.66-0111.16] 通过物理地址访问主存中的相应数据
[0111.16-0115.00] 步骤5,主存给CPU返回数据
[0115.42-0120.22] 不难看出,上述访问流程是夜面命众的情况
[0120.22-0122.94] 我们再来看夜面缺失的情况
[0122.94-0127.42] 前三个步骤与夜面命众的情况是相同的
[0127.42-0129.34] 我们就不再坠述了
[0129.34-0137.82] 步骤4,若夜表向中的有效位置取之为0,则表明所访问的虚拟业不在主存中
[0137.82-0140.33] MIMU出发一次异常
[0140.49-0144.97] 调用操作系统内核中的缺业异常处理程序进行处理
[0144.97-0146.25] 如同所示
[0146.25-0151.91] 步骤5,若主存中相应的夜表已满
[0151.91-0156.71] 则需要根据替换算法,确定哪个夜面被替换
[0156.71-0161.90] 如果该夜面的脏位为1,则把该夜面调出到磁盘
[0161.90-0165.70] 否则直接丢弃,如同所示
[0165.70-0170.34] 若主存中相应的夜表未满,则不需要步骤5
[0171.05-0176.49] 步骤6,缺业处理程序从磁盘调入新的夜面到主存
[0176.49-0181.13] 便更新夜表中相应的夜表向,如同所示
[0181.13-0187.59] 步骤7,缺业处理程序返回到原来的进程,如同所示
[0187.59-0193.13] 该进程中,之前引起缺业的指令会重新启动
[0193.13-0195.85] 这次执行就不会缺业了
[0195.85-0201.05] 按之前介绍的夜面命重情况的步骤2-5执行
[0201.56-0207.00] 这次我们给同学们介绍了夜市虚拟存主器的仿佛流程
[0207.00-0211.08] 包括夜面命重的情况和夜面缺失的情况
[0211.08-0212.86] 需要说明的是
[0212.86-0218.55] 为了简单起见,我们暂未考虑系统中包含有态势的情况
[0218.55-0223.83] 接下来,请同学们趁热打铁,挑战这道408真题
[0223.83-0230.02] 请同学们暂停播放视频,思考一下,然后给出你的答案
[0235.56-0237.96] 本题的答案是选项D
[0237.96-0240.84] 相信同学们都能正确完成
[0240.84-0246.76] 因为我们刚刚介绍过,缺业处理程序会返回到原来的进程
[0246.76-0252.02] 该进程中,之前引起缺业的指令会重新启动
[0252.02-0257.80] 接下来,我们来看结合开始的夜市虚拟存主器的仿佛流程
[0257.80-0262.65] 这是CPU、MIMU、开始以及主存
[0262.73-0264.81] 我们可将主存中的数据
[0264.81-0268.33] 看多是包含有业表内容的若干个数据块
[0268.33-0272.17] 以及包含有虚拟业的若干个数据块
[0272.17-0276.28] 我们将它们分别成为业表块、数据块
[0276.28-0280.60] 由于开始会缓存主存中经常访问的数据
[0280.60-0283.16] 因此,与数据块类似
[0283.16-0288.92] 部分业表块也会作为常用的热数据被载入开始中
[0289.00-0294.62] 下面,我们就给出结合开始的夜市虚拟存主器的仿佛流程
[0294.62-0298.30] 步骤1,CPU给出一个虚拟地址
[0298.30-0302.33] 由MIMU负责对该虚拟地址进行转换
[0302.33-0306.65] 步骤2,MIMU利用业表机质基存器的值
[0306.65-0311.29] 和该虚拟地址中的虚拟业号部分生成业表向地址
[0311.29-0316.86] 通过业表向地址,在开始中快速查找相应的业表向
[0317.02-0322.38] 步骤3,若业表向命中,则返回业表向给MIMU
[0322.38-0326.92] 步骤4,若业表向中的有效位置取之为一
[0326.92-0333.00] 则表明该业表向所对应的虚拟业已从辅存掉入的组存
[0333.00-0337.24] 业表向中的存放位置自断存放的是物理业号
[0337.24-0343.08] 用物理业号与虚拟地址中的业内偏一部分构造出物理地址
[0343.24-0348.70] 通过物理地址,在开始中快速查找相应的数据化
[0348.70-0355.56] 步骤5,若数据化命中,则返回数据化中相应数据给CPU
[0355.56-0359.88] 不能看出,上述情况是最理想的情况
[0359.88-0365.51] 也就是业表向在开始中命中,数据也在开始中命中
[0365.51-0370.63] 这样只需要访问两次开始就可获得数据
[0370.79-0375.29] 再来看比较糟糕的情况,假设业表向缺失
[0375.29-0382.50] 则步骤3改为通过业表向地址到主存中获取相应的业表向
[0382.50-0388.55] 步骤4,将业表向所在数据块从主存再入到开始
[0388.55-0393.34] 步骤5,将业表向返回给MMAO
[0393.34-0397.58] 步骤6,若业表向中的有效位置取之为一
[0397.66-0403.34] 则表明该业表向所对应的虚拟业已从辅存掉入主存
[0403.34-0407.93] 业表向中的存放位置自断存放的是物理业号
[0407.93-0414.22] 用物理业号与虚拟地址中的业内偏一部分构造出物理地址
[0414.22-0420.14] 通过物理地址在开始中快速查找相应的数据块
[0420.14-0428.22] 步骤7,若数据块缺失,则通过物理地址到主存中获取相应的数据块
[0428.76-0434.20] 步骤8,将数据所在数据块从主存再入到开始
[0434.20-0438.70] 步骤9,返回数据给CPU
[0438.70-0443.94] 不难看出,上述这种情况是在不发生缺业
[0443.94-0448.50] 也就是所访问的虚拟业在主存中的情况下
[0448.50-0453.46] 业表向在开始中缺失,数据也在开始中缺失
[0453.46-0458.25] 则需要访问两次主存,才可获得数据
[0458.81-0464.33] 那么请同学们思考一下最糟糕的情况是怎样的呢
[0464.33-0469.59] 我想很多同学已经想到了
[0469.59-0476.63] 那就是发生缺业,也就是所访问的虚拟业不在主存中的情况下
[0476.63-0482.55] 需要访问速度很慢的辅存,例如磁盘,才能获取数据
[0482.55-0489.88] 我们知道虚拟存主器技术是为程序员屏蔽了不同主存容量的限制
[0490.17-0494.81] 但是通过虚拟存主器的访问流程可以发现
[0494.81-0500.41] 采用虚拟存主器技术会影响存主器的访问性能
[0500.41-0506.01] 那么下节课呢,我们会给出对其进行改善的方法
[0506.01-0509.53] 好的,本节课到这里就结束了
[0509.53-0514.17] 请同学们快速回忆一下本节课的主要内容
[0514.17-0529.00] 同学们,我们下节课见
