[0003.28-0007.28] 同學們好,歡迎大家來到我的計算機組成原理微課堂
[0007.28-0011.28] 在上一課中,我們給同學們介紹了IO接口的功能
[0011.28-0014.28] 結構編織、軟件架構以及分類
[0014.28-0017.28] 從本節課開始,我們要用幾次課的時間
[0017.28-0020.28] 給同學們介紹IO控制方式
[0020.28-0023.41] 本節課是對IO控制方式的概述
[0023.41-0029.41] IO控制方式是指,CPU與IO設備進行信息交互時所採用的控制方式
[0029.41-0032.41] 隨著計算機和IO設備的發展
[0032.41-0036.41] IO控制方式經歷了有簡單到複雜,由低效到高效
[0036.41-0040.41] 由CPU集中控制到分散控制的發展過程
[0040.41-0044.50] 相繼發展出了程序直接控制方式
[0044.50-0048.63] 中段驅動方式,直接存儲器存取方式
[0048.63-0052.66] 通道控制方式,以及IO處理機方式
[0052.66-0056.66] 集中,程序直接控制方式,也成為程序查詢方式
[0056.66-0060.66] 在這種方式下,CPU按獨占式查詢策略
[0060.66-0064.66] 或定時輪循策略,讀取IO接口的狀態基準器DSR
[0064.66-0067.66] 以檢查IO設備是否就緒
[0067.66-0072.37] 這期間CPU完全或部分被佔用
[0072.37-0074.37] 中段驅動方式
[0074.37-0079.37] IO設備在完成自身操作後,主動向CPU發出中段請求
[0079.37-0083.37] CPU在等待期間可以執行其他任務
[0083.37-0086.37] 收到中段請求後,再處理數據傳送
[0086.37-0088.37] 提高了CPU利用率
[0088.37-0093.58] 直接存儲器存取方式,也成為DMA方式
[0093.58-0097.58] 在DMA控制器的管理下,數據直接在IO設備
[0097.58-0100.58] 與主存之間承批傳送
[0100.58-0103.58] 傳送過程完全獨立於CPU
[0103.58-0106.58] 近在開始和結束時需要CPU干預
[0106.58-0110.12] 通道控制方式
[0110.12-0113.12] 通道是一個專用於IO操作的
[0113.12-0116.12] 可執行簡單通道程序的處理器
[0116.12-0119.12] CPU只需發出一個IO指定,啟動通道
[0119.12-0123.12] 之後,由通道獨立管理整個IO過程
[0123.12-0125.12] 能力比DMA更強
[0125.12-0129.79] IO處理機方式是通道方式的進一步發展
[0129.79-0132.79] IO處理機功能更接近於通用處理器
[0132.79-0135.79] 擁有獨立的指定系統和存儲器
[0135.79-0138.79] 能處理更複雜的IO任務和查測恢復
[0138.79-0141.79] 進一步將CPU從IO負擔中解放
[0141.79-0144.11] 在上述IO控制方式中
[0144.11-0147.11] 程序查詢方式和中段機動方式
[0147.11-0149.11] 主要由軟件實現
[0149.11-0152.11] 適用於數據傳送速率較低的IO設備
[0152.11-0156.11] 而DMA方式通道控制方式以及IO處理機方式
[0156.11-0158.11] 主要由硬件實現
[0158.11-0161.11] 適用於數據傳送速率比較高的IO設備
[0161.11-0163.21] 在上述IO控制方式中
[0163.21-0166.21] 程序查詢方式、中段機動方式
[0166.21-0170.21] 以及DMA方式屬於本課程的教學重點
[0170.21-0172.21] 從下節課開始
[0172.21-0176.37] 我們就一次給同學們介紹這三種IO控制方式
[0176.37-0178.37] 好的,本節課到這裡就結束了
[0178.37-0180.37] 同學們,我們下節課見
