[0003.25-0007.67] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.67-0012.23] 本节课,我们介绍主存中数据存放的相关知识
[0012.23-0016.35] 分别为,机器自长与存储自长的区别
[0016.35-0018.11] 地址访问模式
[0018.11-0020.40] 大端和小端方式
[0020.40-0022.53] 数据的边界对齐
[0022.53-0026.77] 首先来看机器自长与存储自长的区别
[0026.77-0030.12] 有关机器自长和存储自长的概念
[0030.12-0032.92] 我们在第一章就给同学们介绍过了
[0033.08-0034.64] 机器自长是指
[0034.64-0038.51] CPU一次能够处理的二净值数据的位数
[0038.51-0039.95] 存储自长是指
[0039.95-0044.67] 主存中的一个存储单元所能存储的二净值位数
[0044.67-0049.88] 我们在上节课还刚刚回顾过存储自长的概念
[0049.88-0051.44] 请同学们注意
[0051.44-0054.80] 存储自长与机器自长不一定相同
[0054.80-0058.28] 例如,机器自长为32位的计算机
[0058.28-0060.16] 所采用的存储自长
[0060.24-0064.44] 可以是16位32位或64位
[0064.44-0068.00] 接下来我们介绍地址访问模式
[0068.00-0069.24] 一般情况下
[0069.24-0072.68] 主存是按照字节进行编指的
[0072.68-0074.36] 而存储自长
[0074.36-0079.24] 也就是主存中的一个存储单元所能存储的二净值位数
[0079.24-0082.08] 是字节的二的整数次密辈
[0082.08-0083.76] 例如一字节
[0083.76-0084.72] 二字节
[0084.72-0086.20] 四字节等
[0086.20-0088.04] 我们来举例说明
[0088.04-0090.24] 假设这是主存的存储体
[0090.24-0092.63] 机器所存储的信息
[0092.63-0096.95] 途中每个小句型框中的信息为16净值形式
[0096.95-0101.17] 因此为8位二净值数借一字节
[0101.17-0103.57] 采用16净值形式进行表示
[0103.57-0106.33] 是为了方便我们阅读和输线
[0106.33-0108.81] 我们对每个字节进行编指
[0108.81-0109.89] 对于本例
[0109.89-0113.21] 采用4位二净值数进行编指即可
[0113.21-0114.77] 需要说明的是
[0114.77-0117.21] 这里采用二净值数进行编指
[0117.21-0119.65] 而没有采用16净值形式
[0119.69-0121.49] 是为了本节课后续内容
[0121.49-0123.44] 同学们容易理解
[0123.44-0126.84] 实际上当主存的容量再大一些时
[0126.84-0128.96] 按字节进行编指时
[0128.96-0132.12] 所需的二净值数的位数就比较大了
[0132.12-0135.12] 对于阅读和输线都不方便
[0135.12-0139.08] 因此往往也采用16净值形式
[0139.08-0141.56] 若将途中的每一个小句型框
[0141.56-0143.88] 看作是一个存储单元
[0143.88-0146.81] 则存储自常为一字节
