[0003.47-0007.81] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.81-0011.21] 本节课,我们介绍循环一位运算。
[0011.21-0019.81] 循环一位的对象是无符号数,将无符号数二净之形式中的各个位向左或向右移动,
[0019.81-0024.85] 被移出的位会重新出现在另一端,形成循环。
[0024.85-0032.07] 在很多处理器架构中,循环一位指令会影响状态计存器中的净位标志位。
[0032.07-0041.25] 英文缩写字为CF,CF标志位用于标识在执行算数或逻辑操作时是否发生了净位。
[0041.25-0048.28] 根据CF标志位是否加入循环一位过程,循环一位可分为以下四种。
[0048.28-0055.24] 分别是,不戴CF标志位的循环右移,不戴CF标志位的循环左移,
[0055.24-0065.56] 戴CF标志位的循环右移,戴CF标志位的循环左移,不戴CF标志位的循环一位,又称为小循环。
[0065.56-0069.48] 戴CF标志位的循环一位,又称为大循环。
[0069.48-0077.52] 接下来,我们分别介绍上述四种循环一位,首先来看不戴CF标志位的循环右移。
[0077.82-0089.49] 我们以八位计存器为例,其最低位计为B0,最高位计为B7,计存器各位存储的二循之数由低位B0到高位B7,
[0089.49-0103.03] 依次计为X0到X7,这是CF标志位,对于不戴CF标志位的循环右移,计存器各位存储的二循之数同时向右移动。
[0103.13-0111.13] 从最低位B0移出的二循之数,会被移入到最高位B7,这样就构成了循环。
[0111.13-0122.75] 另外,从最低位B0移出的二循之数,还会存入CF标志位,但是CF标志位本身并不存在于循环右移中,
[0122.75-0129.54] 因此称为不戴CF标志位的循环右移,来看循环右移一位的情况。
[0130.03-0136.13] 如同所示,计存器各位存储的二循之数,同时向右移动移位,
[0136.13-0145.13] 从最低位B0移出的二循之数X0,被移入到最高位B7,还会存入CF标志位。
[0145.13-0158.38] 我们在此基础上,再向右循环移动移位,从最低位B0移出的二循之数X1,被移入到最高位B7,还会存入CF标志位。
[0159.45-0168.05] 接下来,请同学们按照我们刚刚介绍的,不戴CF标志位的循环右移规则,完成该练习。
[0168.05-0177.35] 相信同学们都能正确完成,我们就不再坠述了。
[0177.35-0181.05] 再来看,不戴CF标志位的循环左移。
[0181.05-0188.98] 对于不戴CF标志位的循环左移,计存器各位存储的二循之数同时向左移动。
[0188.98-0197.18] 从最高位B7移出的二循之数,会被移入到最低位B0,这样就构成了循环。
[0197.18-0203.50] 另外,从最高位B7移出的二循之数,还会存入CF标志位。
[0203.50-0214.22] 但是,CF标志位本身并不存在于循环左移中,因此称为不戴CF标志位的循环左移。
[0214.74-0217.64] 我们来看循环左移移位的情况。
