[0003.82-0008.14] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0008.14-0011.98] 从本节课开始,我们进入第三章的学习
[0011.98-0015.90] 第三章的内容是运算方法和运算器
[0015.90-0019.26] 本节课,我们介绍逻辑一位运算
[0019.26-0022.45] 逻辑一位的对象是无符号数
[0022.45-0025.65] 下面,我们给出逻辑一位的规则
[0025.65-0030.14] 对于逻辑左移,高位移除,低位补零
[0030.30-0034.14] 对于逻辑右移,低位移除,高位补零
[0034.14-0036.27] 我们来举例说明
[0036.27-0041.23] 如读所示,这是某个八位计存器及其存储的内容
[0041.23-0044.99] 最低位即为B0,最高位即为B7
[0044.99-0048.99] 我们将其内容逻辑左移一位,如读所示
[0048.99-0054.91] 可以看到,各个位同时向左移动了一位
[0054.91-0060.78] 将移出计存器的内容,也就是高位B7之前存储的内容
[0060.86-0062.48] 移除即可
[0062.48-0067.01] 而低位B0的内容被移空,用0补充即可
[0067.01-0071.89] 这就是逻辑左移时,所谓的高位移除,低位补零
[0071.89-0074.82] 再来看逻辑右移的例子
[0074.82-0081.38] 将该计存器的内容,逻辑右移两位,如读所示
[0081.38-0085.49] 可以看到,各个位同时向右移动了两位
[0085.49-0090.29] 将移出计存器的内容,也就是低位B0和B1
[0090.29-0093.33] 之前存储的内容移除即可
[0093.33-0098.42] 而高位B6和B7的内容被移空,用0补充即可
[0098.42-0103.15] 这就是逻辑右移时,所谓的低位移除,高位补零
[0103.15-0106.35] 在同学们了解了逻辑一位的规则后
[0106.35-0115.22] 请同学们完成下面这个相关练习
[0115.22-0119.82] 相信同学们都能正确完成,我们就不再坠述了
[0119.82-0122.34] 可能有的同学会有这样的想法
[0122.34-0126.18] 那就是逻辑一位及其规则比较简单
[0126.18-0130.26] 我已经学会了,那么逻辑一位有什么作用呢?
[0130.26-0134.58] 那么接下来呢,我们就来举一个逻辑一位的应用例子
[0134.58-0137.18] 假设这是某个八倍计存器
[0137.18-0140.50] 其当前存储的内容,我们并不知道
[0140.50-0145.02] 因此,其各个位的存储内容,我们用X表示
[0145.02-0149.01] X的取值,无非就是二径制的0或1
[0149.05-0154.57] 我们的应用需求是,将该计存器的B6位存储的内容清零
[0154.57-0160.21] 而不影响其他各位存储的内容,使用C元编成实现
[0160.21-0166.73] 为了简单起见,我们假设该计存器的内容保存在变量REGdata中
[0166.73-0168.90] 我们一起来编写代码
[0168.90-0170.78] 首先定义一个红
[0170.78-0176.30] 为了建名之一,我们将该红命名为B6下滑线Mask
[0176.38-0178.66] 以此为B6位的研码
[0178.66-0181.26] 其内容为1,左右6位
[0181.26-0186.70] C元的预处理器将在后续代码中用红的内容计划红名
[0186.70-0190.21] 之后,编译器会进行相关编译
[0190.21-0195.97] 在本例中,该红的作用相当于创建了另一个八位无符号变量
[0195.97-0201.14] 其最低位B0的出使值为1,其他位的出使值为0
[0201.14-0204.98] 然后将该变量的内容逻辑左移6位
[0204.98-0208.66] 高位移除,低位补0
[0208.66-0212.02] 这样就得到了B6位的研码
[0212.02-0216.87] 接下来,使用之前定义的红,编写了这场语句
[0216.87-0218.47] 该语句的作用是
[0218.47-0225.98] 首先将B6位的研码安慰取反,如同所示
[0225.98-0234.25] 然后将B6位的研码安慰取反的结果,与变量REGdata中的内容进行语运算
[0234.25-0236.89] 这是变量REGdata中的内容
[0236.89-0242.78] 我们将其与B6位的研码安慰取反的结果进行语运算
[0242.78-0247.26] 语一相语的那些位,会保持不变
[0247.26-0251.33] 而语零相语的位,会被清零
[0251.33-0258.64] 最后,语运算得到的结果,会被写回到变量REGdata中
[0258.64-0263.48] 这样,我们就利用逻辑一位运算,取反运算,语运算
[0263.52-0266.20] 实现了将计存器的某个位清零
[0266.20-0269.50] 而不影响计存器的其他个位
[0269.50-0272.26] 可能有的同学会有这样的想法
[0272.26-0276.98] 那就是既然可以利用位研码将计存器的某个位清零
[0276.98-0280.63] 那么能不能将某个位置一呢?
[0280.63-0282.59] 回答是肯定的
[0282.59-0288.59] 只要将之前的那条语句中对B6位的研码进行取反的操作服去掉
[0288.59-0292.41] 将语运算服改为获运算服即可
[0292.41-0296.09] 这相当于将变量REGdata中的内容
[0296.09-0300.26] 与B6位的研码进行获运算
[0300.26-0304.92] 与零相获的那些位会保持不变
[0304.92-0309.38] 与一相获的位会被质疑
[0309.38-0316.38] 最后,获运算得到的结果,会被写回到变量REGdata中
[0316.38-0320.02] 这样,我们就利用逻辑一位运算获运算
[0320.02-0323.10] 实现了将计存器的某个位质疑
[0323.10-0326.31] 而不影响计存器的其他个位
[0326.31-0331.95] 至此,相信同学们已经领会到了逻辑一位运算的实际应用
[0331.95-0336.59] 如果同学们做过单片机或嵌入式系统底层软件开发
[0336.59-0339.88] 则对此应该是非常熟悉的
[0339.88-0343.52] 当然了,逻辑一位运算还有其他应用
[0343.52-0346.50] 有兴趣的同学可以自行查阅
[0346.50-0347.98] 需要说明的是
[0347.98-0351.66] 在本例周,我们只利用了一个位的位研码
[0351.66-0355.25] 对该位进行清零和之一的操作
[0355.25-0358.81] 实际上,可以利用每个位各自的位研码
[0358.81-0363.26] 对每个位同时进行清零或之一的操作
[0363.26-0365.60] 例如,下面这个练习
[0365.60-0372.15] 请同学们自己练习一下
[0372.15-0374.43] 相信大家都能正确完成
[0374.43-0376.51] 我们就不在这里数了
[0376.51-0379.71] 好的,本节课到这里就结束了
[0379.71-0393.96] 请同学们快速回忆一下本节课的主要内容
[0393.96-0396.12] 同学们,我们下节课见
