[0003.38-0007.98] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.98-0014.93] 在上几课中,我们给同学们介绍了虚拟存主器的相关概念和基本工作原理。
[0014.93-0023.29] 通过虚拟存主器的基本工作原理,我们不能发现,与开始技术将开始作为主存的缓存相似。
[0023.45-0040.25] 虚拟存主器技术是将主存作为辅存的缓存,因此要实现虚拟存主器,就需要考虑所交换数据块的大小问题、地址硬设问题、数据块替换问题、写入史的数据移植性问题等。
[0040.25-0047.96] 根据对上述问题的不同解决方法,可将虚拟存主器分为以下三种不同类型。
[0048.28-0055.64] 分别是夜市虚拟存主器、断市虚拟存主器、断夜市虚拟存主器。
[0055.64-0066.87] 其中,夜市虚拟存主器会在本课程中介绍,而断市虚拟存主器和断夜市虚拟存主器会在操作系统课程中介绍。
[0067.24-0071.40] 本节课,我们对夜市虚拟存主器进行概述。
[0071.40-0079.11] 通过上节课的学习,我们知道,可将虚拟存主器看作是主存和辅存构成的。
[0079.11-0092.20] 单一的,可供CPU直接访问的超大容量主存,对于夜市虚拟存主器及地址空间被划分成若干个固定大小的页面,简称页。
[0092.52-0104.84] 主存与辅存之间按夜交换信息,虚拟地址空间中的夜称为虚拟夜,其英文所写词为VP,简称虚夜,也称为逻辑夜。
[0104.84-0116.36] 主存空间中的夜称为物理夜,其英文所写词为PP,简称实夜,也称为夜宽或夜真,例如诱徒所示。
[0116.68-0124.44] 主存空间被划分成了四个物理夜,其中这三个物理夜中,各自存放有一个虚拟夜。
[0124.44-0140.52] 这是存放在辅存中的一些虚拟夜,夜市虚拟存主器采用请求分夜的思想,将进城中活跃的夜面从辅存掉入主存,而不活跃的夜面保留在辅存中。
[0141.00-0150.97] 例如,这是存放于辅存中的某个进城的香温夜面,这是之前已掉入主存的该进城的活跃夜面。
[0150.97-0166.62] 当发问某个信息时,若该信息所在夜面不在主存中时,会产生缺业异常,此时从辅存将缺失夜面掉入主存,例如诱徒所示。
[0166.78-0181.88] 该进城的虚拟夜面VP7被掉入主存的物理夜面PP3中,我们将之前学习过的开市主存系统与本节课介绍的夜市虚拟存主器划在一张图中。
[0181.88-0196.44] 我们知道,开市与主存之间交换的是主存数据化,而在主存与辅存构成的单一的可供CPU直接访问的超大容量夜市虚拟存主器中。
[0196.68-0212.65] 主存与辅存之间交换的是夜面,我们知道,开市由静态随机存主器SRAM组成,主存由动态随机存主器DRAM组成,而辅存由磁盘等外设组成。
[0213.13-0229.13] 开市的容量,远小于主存的容量,而主存的容量,远小于辅存的容量,主存的访问速度,远小于太师的访问速度,而辅存的访问速度,有远小于主存的访问速度。
[0229.69-0239.21] 综上所说,夜市虚拟存主器的切业处理代价,远大于太师数据缺失,也就是未命中时的处理代价。
[0239.21-0250.81] 因此,通常将夜市虚拟存主器中主存与辅存之间交换的夜面的大小,设置的比较大,常见的夜面大小为4K字节。
[0251.32-0271.64] 不知,同学们是否还记得,在之前有关开市的那几节课中,不管是习题,还是408考研真题中,主存数据化的大小一般是多少呢?答案是十六字节,三十二字节,六十四字节等。
[0271.64-0280.12] 这远小于夜市虚拟存主器中,主存与辅存之间交换的夜面的典型大小,4K字节。
[0280.36-0289.88] 由于缺业处理的代价较大,因此,主存与辅存之间采用全相远硬射方式,以提高命中率。
[0289.88-0302.01] 不知,同学们是否还记得,在之前学习太师主存系统时,我们曾给同学们介绍过哪些硬射方式,他们各自的特点是什么。
[0302.01-0306.66] 忘记了的同学,请快速复习一下。
[0307.90-0321.42] 另外,由于辅存的访问速度远小于主存的访问速度,因此在进行写操作时,因采取的写入策略为写回法而不是写穿法。
[0321.42-0328.09] 好的,本节课到这里就结束了。同学们,我们下节课见。
