[0003.02-0007.42] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.42-0013.18] 在上节课中,我们给同学们介绍了指令中的地址码字段的相关知识。
[0013.18-0018.46] 本节课,我们给同学们介绍指令中的操作码字段的相关知识。
[0018.46-0025.18] 操作码字段中的操作码用于指定进行什么操作,或称为运算。
[0025.18-0028.90] 不同指定的操作码的编码值是不同的。
[0029.06-0039.14] 例如,在某个指定系统中,该八位编码值用于表示加法操作,而这个八位编码值用于表示显法操作。
[0039.14-0045.22] 根据操作码的长度,也就是操作码字段的二净之位数是否固定。
[0045.22-0052.53] 操作码可分为以下两种,一种是定长操作码,另一种是变长操作码。
[0052.91-0054.91] 首先来看定长操作码。
[0054.91-0062.56] 对于定长操作码,其长度是固定的,并且其在指令中的位置也是固定的。
[0062.56-0067.60] 因此,指令一码简单,进而硬件实现也简单。
[0067.70-0077.30] 指令系统的规模,也就是指令系统所包含的指令数量,决定了操作码的长度,也就是操作码的位数。
[0077.68-0086.64] 若指令系统所包含的指令数量为X,操作码的位数为N,则X和N因满足如下关系。
[0086.64-0088.64] 这并不难理解。
[0088.64-0095.28] 例如,某指令系统所包含的指令数量为26,则操作码的位数至少为5,
[0095.28-0100.56] 这样可有二的五次方等于32个组合,或成为状态。
[0100.56-0105.12] 每个状态表示一条指令,还剩于9个状态。
[0105.46-0110.98] 如果操作码的位数为4,这样最多有二的四次方等于16个状态。
[0110.98-0117.70] 每个状态表示一条指令,只能表示16条指令,无法满足指令系统的需求。
[0117.70-0127.10] 再来看电长操作码,对于电长操作码,其长度是可变的,并且其在指令中的位置也不固定。
[0127.10-0134.78] 因此,可以有效减少操作码的平均长度,用矯短的指令字长表示了更多的指令,
[0135.02-0139.98] 并且给地址码流出了更多位数,以增大寻止空间。
[0139.98-0149.14] 对于上述优点,不能完全理解的同学,不必纠结,可通过稍后的举例和相关席题进一步体会。
[0149.14-0153.87] 请同胸注意,不要把电长操作码和电长操作码的概念,
[0153.87-0165.23] 与我们之前在本章中有关指令的一般格式和指令字长的那些课中,介绍过的电长指令系统和电长指令系统的概念搞混淆了。
[0165.23-0173.47] 电长操作码的常见实现方法是,扩展操作码技术,扩展操作码技术的核心思想是,
[0173.47-0178.59] 操作码的长度,随地址码自断中地址码数量的减少而增加。
[0178.75-0192.43] 我们来举例说明,如所示,假设某定长指令系统的指令字长为16位,其中,操作码自断的位数为4位,地址码自断中的3个地址码也都为4位。
[0192.43-0200.59] 因此,操作码的曲直共有2的四字方,等于16个组合,或成状态如下所示。
[0203.28-0211.20] 每种状态,后跟3个地址码作为一条3地址指令,因此,共有16条3地址指令。
[0211.20-0217.90] 若采用定长操作码,则本地中的指令系统只能包含16条3地址指令。
