[0003.76-0008.20] 同学们好,欢迎大家来到我的计算机组成员里维克唐
[0008.20-0011.44] 本节课,我们给同学们介绍一码
[0011.44-0019.13] 在之前的三次课中,我们一次给同学们介绍了原码、补码、以及反码
[0019.13-0022.25] 我们首先来回忆一下他们各自的优缺点
[0022.25-0025.90] 原码的优点是,表示方法简单直观
[0025.90-0029.58] 而缺点是,符号位不能直接参与运算
[0029.58-0033.22] 真之灵在原码中有两种不同的表示
[0033.41-0035.41] 鉴于原码的上述缺点
[0035.41-0040.21] 原码在计算机中,目前仅仅用于表示辅点数的维码
[0040.21-0041.97] 也就是维数
[0042.13-0045.89] 需要说明的是,辅点数的表示比较复杂
[0045.89-0050.37] 我们将在介绍完定点数的原码、补码、反码、以码之后
[0050.37-0052.13] 进行详细介绍
[0052.13-0056.62] 补码的优点是,补码表示方法使得简法运算
[0056.62-0058.78] 可以转换成加法运算
[0058.78-0062.18] 真之灵在补码中只有一种表示
[0062.34-0067.35] 这使得补码比原码和反码多表示一个最小复数
[0067.35-0069.83] 符号位可以直接参与运算
[0069.83-0074.55] 运算时,符号位的境位作为磨,会被自动舍弃
[0074.55-0078.74] 补码的缺点是,表示方法比原码复杂
[0078.74-0082.28] 原码的数字位与真值的决定值相从
[0082.28-0085.32] 通过原码可以很容易得出真值
[0085.32-0088.84] 但是补码就没有这么简单了
[0088.84-0090.44] 需要说明的是
[0090.52-0095.56] 现代计算机中多采用HRE 754标准表示伏点数
[0095.56-0099.08] 而其中的定点小数采用原码表示
[0099.08-0104.17] 因此,通常不会涉及定点小数的补码表示
[0104.17-0108.17] 反码的优点是,符号位可以参与运算
[0108.17-0112.17] 而缺点是,最高位,也就是符号位
[0112.17-0115.77] 产生的境位要加到运算结果的低位
[0115.77-0118.74] 即所谓的循环境位问题
[0118.74-0123.88] 另外,真之灵在反码中有两种不同的表示
[0123.88-0126.28] 鉴于反码的上述缺点
[0126.28-0129.48] 反码在计算机中目前很少被使用
[0129.48-0132.28] 通常用来作为由原码求补码
[0132.28-0136.01] 或者由补码求原码的中间过路
[0136.01-0138.49] 除了上述三种机器码外
[0138.49-0143.61] 目前,以码已在一些通用计算机中被广泛采用
[0143.61-0146.22] 它就有一些突出的优点
[0146.22-0151.21] 以码就是在真值上加一个常数二的N次方
[0151.21-0154.41] 在数轴上,以码所表示的范围
[0154.41-0158.81] 对应于真值在数轴上的范围向轴的正方向
[0158.81-0161.24] 移动二的N次方的单元
[0161.24-0166.14] 如同所示,这是真值在数轴上的表述范围
[0166.14-0169.54] 来看以码在数轴上的表述范围
[0169.54-0172.90] 在真值上加上常数二的N次方
[0172.90-0183.69] 就可得到以码,如同所示
[0183.77-0185.29] 请同学们注意
[0185.29-0188.66] 以码只用于定点整数的表示
[0188.66-0192.82] 接下来,我们根据上述以码的编码规则
[0192.82-0195.38] 给出以码的定义式
[0195.38-0198.10] 假设真值X为定点整数
[0198.10-0201.54] N为X的以码表示中数值位的位数
[0201.54-0203.88] 也就是比特数量
[0203.88-0206.78] 这是真值X的取值范围
[0206.78-0209.26] 根据以码的编码规则
[0209.26-0213.83] 可以非常容易的写出真值X的以码的定义式
[0213.91-0216.31] 那就是真值X的以码
