[0003.15-0007.75] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0007.75-0011.87] 在上幾課中,我們給同學們介紹了立即循指
[0011.87-0015.27] 直接循指,技存器循指,間接循指
[0015.27-0020.43] 技存器間接循指,這五種比較簡單的操作數循指方式
[0020.43-0026.99] 本節課,我們給同學們介紹其他幾種相對複雜一點的操作數循指方式
[0026.99-0029.79] 首先來看相對循指方式
[0030.59-0032.99] 指令中的循指方式自斷的值
[0032.99-0036.27] 就是用來表明相對循指方式的特徵嘛
[0036.27-0041.42] 例如101,這表明指令中形式地址自斷的值
[0041.42-0046.38] 是相對於當前的程序技術器PC的值的偏一量
[0046.38-0049.18] 用以形成操作數的主存地址
[0049.18-0052.50] 總上所述,在相對循指方式下
[0052.50-0056.50] 操作數與指令是分開存放在主存中的
[0056.75-0062.75] 指令中的形式地址是需要給程序技術器PC中的內容加上的偏一量
[0062.75-0065.87] 可證可付,用不碼表示
[0065.87-0071.63] 這樣就可以形成操作數的主存地址或轉移目標地址
[0071.63-0073.47] 例如下足所示
[0073.47-0078.99] 假設PC當前指向某條相對循指指令所在的主存單元
[0078.99-0082.59] 並且可以對該指令進行取指了
[0082.83-0088.27] 在取取完成號,PC中的內容會自動加上一個指令自長
[0088.27-0092.11] 進而指向下一條指令所在的主存單元
[0092.11-0097.10] 在對已起到的那條指令進行一滿號就知道了
[0097.10-0099.42] 這是一條相對循指指令
[0099.42-0105.58] 因此將該指令中的形式地址自斷的值與PC中的內容相加
[0105.58-0110.94] 得到的結果就是操作數的主存地址或轉移目標地址
[0111.78-0116.18] 接下來,我們舉一個形成操作數的主存地址的例子
[0116.18-0120.98] 之後,請同學們完成一個形成轉移目標地址的例子
[0121.49-0123.41] 首先來看這個例子
[0123.41-0126.13] 請同學們暫停播放視頻
[0126.13-0128.05] 務必認真審提
[0128.05-0130.05] 之後我們來一起分析
[0130.05-0137.57] 我們來一起分析
[0137.57-0142.53] 如足所示,這是根據本地所給條件劃出的示意圖
[0142.53-0145.57] 這是一條相對循指指令
[0145.57-0148.53] 這是該指令的主存地址
[0149.14-0151.54] 由於指令字長為16位
[0151.54-0153.46] 也就是兩個字節
[0153.46-0154.66] 因此可知
[0154.66-0157.70] 這是其下一條指令的主存地址
[0157.70-0161.49] 這是本地中相對循指指令的操作數
[0161.49-0164.37] 這是該操作數的主存地址
[0164.37-0169.82] 假設PC當前指向這條指令所在的主存單元
[0169.82-0172.78] 並且可以對該指令進行取指了
[0172.78-0174.53] 在取指完成後
[0174.53-0179.17] PC中的內容會自動加上一個指令字長兩字節
[0179.33-0183.44] 進而指向下一條指令所在的主存單元
[0183.44-0187.12] 在對已取到的指令一滿號就知道了
[0187.12-0189.44] 這是一條相對循指指令
[0189.44-0193.12] 因此將該指令中的形式地址自動的值
[0193.12-0195.90] 與PC中的內容相加
[0195.90-0199.95] 得到的結果就是操作數的主存地址
[0199.95-0201.15] 不難看出
[0201.15-0202.91] 在指令執行時
[0202.91-0207.20] 需要掃問一次主存來獲取操作數
[0207.20-0209.28] 至此我們就可以得出
[0209.44-0210.80] 本地要求給出的
[0210.80-0214.77] 該相對循指指令的形式地址自動的值
[0214.77-0215.65] 接下來
[0215.65-0218.69] 請同學們自行完成這道題題
[0218.69-0221.17] 請大家暫停播放視頻
[0221.17-0228.74] 務必動手練習一下
[0228.74-0232.18] 不知同學們是否都正確完成了該題
[0232.18-0235.86] 本題與之前的舉例有兩點不同
[0235.86-0236.90] 一點是
[0236.90-0240.02] 本題中形式地址自動的值為速數
[0240.02-0241.14] 另一點是
[0241.14-0244.53] 最終PC指向的是轉移目標
[0244.53-0247.97] 通過上述舉例和席題可以看出
