[0003.92-0008.08] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0008.08-0013.44] 在前幾次課中,我們給同學們介紹了指令流水線的相關基本概念
[0013.44-0019.12] 指令流水線所涉及的結構衝突、控制衝突、數據衝突的解決方案
[0019.12-0024.40] 進一步提升指令執行病情性的超流水線技術和多發設計術
[0024.40-0029.84] 本節課是有關指令流水線的最後一次課,我們安排的是習提克
[0029.92-0037.84] 一共包含408考研一年整體中的與指令流水線相關的九道單選題和兩道綜合大題
[0037.84-0045.44] 需要說明的是,其中的九道單選題已經穿插在之前的幾次課中,請同學們挑戰過了
[0045.44-0050.32] 在本節習提克中,一方面將這九道單選題作為習提會總
[0050.32-0056.08] 另一方面,同學們也可以再次刷題,檢驗一下自己之前的作題效果
[0056.24-0063.76] 因此,對於這九道單選題,我們就不再進行解析了,而是緊播放題目和解析動畫
[0063.76-0067.60] 同學們可根據需要隨時暫停播放視頻
[0067.60-0211.22] 好的,接下來我們來一起練習2012年提44的第二到第四小題
[0211.22-0217.46] 請同學們暫停播放視頻,務必認真審題,之後我們來一起分析
[0217.46-0226.61] 好的,我們來分析該綜合大題的第二小題
[0226.77-0230.61] 根據提議,我們畫出相應的指令流水線時空圖
[0230.61-0234.61] 水平方向為時間,以時鐘周期為單位刻度
[0234.61-0240.61] 垂直方向為空間,也就是題目給定的指令流水線中的五個功能段
[0240.61-0246.13] 題目給定,在某個時間段中,有連續四條指令進入流水線
[0246.13-0249.49] 在其執行過程中未發生任何阻塞
[0249.49-0254.61] 因此,我們可以畫出相應的指令流水線時空圖如都所示
[0258.64-0263.52] 可以看到,經過五個時鐘周期,指令一從流水線中流出
[0263.52-0269.12] 也就是執行完畢,再經過一個時鐘周期,指令二從流水線中流出
[0269.12-0273.20] 再經過一個時鐘周期,指令三從流水線中流出
[0273.20-0277.12] 再經過一個時鐘周期,指令四從流水線中流出
[0277.12-0281.92] 因此,執行這四條指令所需的時鐘周期數為八
[0281.92-0285.15] 實際上,我們之前給同學們總結過
[0285.23-0290.99] 在連續向流水線輸入指令,且執行過程未發生任何阻塞的情況下
[0290.99-0297.71] 一條M段流水線,執行N條指令所需的時鐘周期數為M加上N-1
[0297.71-0300.83] 如果同學們理解並記住了這個公式
[0300.83-0306.11] 在實戰中,可以快速完成該小題,而不用畫出時空圖
[0306.11-0310.22] 好的,我們來分析該綜合大題的第三小題
