[0003.18-0007.74] 同学们好,欢迎大家来到我的计算机组成原理威克唐
[0007.74-0012.94] 本节课,我们介绍SRM存储器结构及其芯片实力
[0012.94-0016.22] 在上节课中,我们给同学们介绍了
[0016.22-0020.54] 将多个SRM存储员扩展成存储阵列的方法
[0020.54-0025.42] 由于这样的存储阵列,一次只能访问一个存储员
[0025.42-0027.50] 也就是一位数据
[0027.50-0030.54] 因此,我们还给同学们举例介绍了
[0030.70-0034.78] 使用多个这样的存储阵列进行扩展的方法
[0034.78-0039.74] 这样,一次可以访问多个存储员构成的存储字
[0039.74-0045.10] 例如,本例中一次可以访问四个存储员构成的存储字
[0045.10-0047.74] 也就是存储字查为四位
[0047.74-0052.86] 上述存储阵列,就构成了SRM存储器的存储体
[0052.86-0058.21] 除存储体外,SRM存储器还包含有地址异码
[0058.29-0061.01] 还有,控制等相关电路
[0061.01-0063.84] 我们稍后将做进一步介绍
[0063.84-0067.04] 为了方便绘制SRM存储器的结构
[0067.04-0070.16] 我们使用符号来表示存储体
[0070.16-0073.09] 以屏蔽存储体的内部细节
[0073.09-0081.98] 本例中的存储体的符号如图所示
[0081.98-0086.64] 接下来,我们就来举例说明SRM存储器的结构
[0086.64-0089.84] 假设本例中的SRM存储器的存储体
[0089.84-0093.84] 由4片64×64的存储阵列
[0093.84-0098.82] 通过航选同线的并连和列选同线的并连扩展而成
[0098.82-0101.06] 在该存储体中
[0101.06-0104.18] 每个64×64的存储阵列
[0104.18-0109.94] 包含有64×64,也就是4096个存储员
[0109.94-0113.49] 每个存储员存储一位二净值数据
[0113.49-0119.73] 相应的,包含有X0-X63共64条航选同线
[0119.81-0124.48] X0-X63共64条列选同线
[0124.48-0127.52] 因此存储自查为4位
[0127.52-0131.79] 也就是一次可存取4位二净值数据
[0131.79-0136.51] 存储容量为4096位每片乘以4片
[0136.51-0140.37] 换算成字节为2K字节
[0140.37-0145.17] 通过本章主存基本结构纳捷克的学习,我们知道
[0145.17-0147.81] 存储体的各条航选同线
[0147.81-0151.65] 应与航地址一码器的各条一码输出线
[0151.65-0153.62] 做相应连接
[0153.62-0157.46] 由于本利中的航选同线有64条
[0157.46-0159.86] 相应的航地址一码器
[0159.86-0162.02] 应有6位地址输入
[0162.02-0165.50] 因为2的6字方等于64
[0165.50-0168.06] 存储体的各条列选同线
[0168.06-0171.50] 应与列地址一码器的各条一码输出线
[0171.50-0173.34] 做相应连接
[0173.34-0177.10] 由于本利中的列选同线有64条
[0177.18-0179.50] 相应的列地址一码器
[0179.50-0181.74] 应有6位地址输入
[0181.74-0184.72] 因为2的6字方等于64
[0184.72-0185.76] 很显然
[0185.76-0188.56] 上述一码结构是本章
[0188.56-0191.68] 用于地址一码的一码结构纳捷克中
[0191.68-0195.33] 给同学们介绍过的双一码结构
[0195.33-0197.89] 在实际的SRAM存储器中
[0197.89-0200.53] 一码器的各条一码输出线
[0200.53-0204.05] 实际上并不是直接连接到存储体的
[0204.05-0206.05] 相应的选同线上
[0206.13-0208.29] 而是通过驱动器后
[0208.29-0211.15] 再与相应的选同线连接
[0211.15-0212.67] 这样做的目的是
[0212.67-0215.39] 增强一码器的负载能力
[0215.39-0217.57] 我们来进一步说明
[0217.57-0221.44] 这是SRAM存储阵列中的某个存储员
[0221.44-0223.76] 这是其构成细节
[0223.76-0225.12] 我们可以看到
[0225.12-0228.24] 行地纸一码器的每条一码输出线
[0228.24-0230.00] 都要同时驱动
[0230.00-0234.00] 这一行上所有存储员的T5和T6
[0234.00-0235.71] 这两个MOS管
[0235.79-0238.27] 而4片存储阵列并发
[0238.27-0240.99] 每条一码输出线要驱动
[0240.99-0245.95] 2×64×4等于512个MOS管
[0245.95-0247.97] 负责很大
[0247.97-0250.85] 列地纸一码器的每条一码输出线
[0250.85-0252.29] 都要同时驱动
[0252.29-0256.77] 这一列上所有存储员共享的T7和T8
[0256.77-0258.46] 这两个MOS管
[0258.46-0260.86] 而4片存储阵列并发
[0260.86-0263.50] 每条一码输出线要驱动
[0263.50-0266.46] 2×4等于8个MOS管
[0266.46-0268.72] 负载也讲大
[0268.72-0271.12] 除一码器和驱动器外
[0271.12-0274.94] S1M存储器还包含有iO电路
[0274.94-0278.93] 它处在存储单元与数据总线之间
[0278.93-0280.05] 读出时
[0280.05-0281.65] 4对未现信号
[0281.65-0285.41] 经iO电路中各自的X3大器放大后
[0285.41-0287.33] 根据电流方向的不同
[0287.33-0290.16] 输出4位二净值数据
[0290.16-0291.36] 写入时
[0291.44-0294.40] 数据总线上的数据送入iO电路
[0294.40-0297.74] 再写入到相应的存储单元
[0297.74-0299.18] 上述一码器
[0299.18-0300.22] 驱动器
[0300.22-0301.50] iO电路
[0301.50-0305.46] 需要在控制电路的控制下进行工作
[0305.46-0309.38] 控制电路包含有两条非常重要的控制线
[0309.38-0312.18] 一条是片选线C還是
[0312.18-0315.65] 另一条是写使的控制线WE
[0315.65-0317.97] 它们都是低电瓶有效
[0317.97-0318.77] 因此
[0318.77-0322.37] 这两个英文缩解词都带有上华线
[0322.37-0324.80] 表示低电瓶有效
[0324.80-0327.63] 我们解释一下它们各自的作用
[0327.63-0331.07] 由于一块SRAM存储级芯片的容量有限
