[0003.50-0008.02] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0008.02-0014.22] 本節課是有關CPU內部採用單總線數據通路的第三次習迪克
[0014.22-0020.42] 在本次習迪克中,我們安排了一道相關的408歷年考研的總課大題
[0020.42-0024.98] 接下來呢,我們就來挑戰這道2022年的題43
[0024.98-0029.14] 請同學們暫停播放視頻,務必認真審題
[0029.14-0031.38] 之後我們來一起分析
[0036.22-0040.52] 好的,我們來一起分析本大題的第一小題
[0040.52-0044.52] 該小題實際上考察標誌基準器FR
[0044.52-0050.44] 也就是我們之前給同學們介紹過的程序狀態字的基準器PSW中
[0050.44-0057.20] 相關標誌,例如符號標誌SF,溢出標誌OF的相關知識
[0057.20-0063.28] 另外,還考察了補碼的相關知識,以及我們對邏輯代數的相關應用
[0063.47-0070.43] 根據提議,我們首先寫出傳送到算數邏輯單元ALU的兩個輸入端各自的操作數
[0070.43-0073.79] 以及ALU輸出端輸出的運算結果
[0073.79-0079.78] 題目給定,它們各自的最高位A15、B15、F15是符號位
[0079.78-0085.62] 需要說明的是,實際上機器應用件並不知道它們是補碼的符號位
[0085.62-0092.06] 補碼是人類發明的,適合在計算機內部表示數的機器數,也稱為機器碼
[0092.22-0096.30] 補碼的優點就是,符號位可以直接參與運算
[0096.30-0099.98] 還可以使得減法運算轉換成加法運算
[0099.98-0103.90] 只不過,機器應用件並不知道補碼及其性質
[0103.90-0110.70] 人類利用補碼的性質,設計相應的數字邏輯電路,以實現補碼的相關運算
[0110.70-0114.70] 這一點,在本小體中就可以充分體現
[0114.70-0119.20] 題目要求我們給出,符號標誌SF的邏輯表達式
[0119.44-0125.12] 並且要求邏輯表達式的輸入變量為A15、B15及F15
[0125.12-0131.97] 也就是只能用A15、B15及F15來寫出SF的邏輯表達式
[0131.97-0138.85] 經過之前的學習,我們知道,符號標誌SF用來表示運算結果F的正負
[0138.85-0145.49] 因此,SF的邏輯表達式非常簡單,也就是SF等於F15
[0145.65-0150.69] 因為題目給定,F15就是運算結果F的符號位
[0150.69-0153.74] 用來表示運算結果F的正負
[0153.74-0159.63] 題目還要求我們給出,A加B時,溢出標誌OF的邏輯表達式
[0159.63-0164.43] 經過之前的學習,我們知道,A和B進行加法運算
[0164.43-0170.91] 當它們從號,也就是從正或從負時,才可能產生溢出
[0171.07-0175.95] 若A和B都為正,且運算結果為負,則產生溢出
[0175.95-0180.53] 由於F2位為1表示負,F2位為0表示正
[0180.53-0186.13] 因此,我們用A的F2位A15的邏輯非來表示A為正
[0186.13-0189.25] 用F2位A15表示A為負
[0189.25-0194.72] 同理,我們用B的F2位B15的邏輯非來表示B為正
[0195.04-0200.24] 這樣,我們就用A15的邏輯非與B15的邏輯非進行邏輯語
[0200.24-0203.30] 來表示A和B都為正
[0203.30-0208.90] 我們用運算結果F的符號位F15,來表示運算結果F為負
[0208.90-0214.45] 這樣,我們就用A15的邏輯非與B15的邏輯非進行邏輯語
[0214.45-0219.57] 在與F15進行邏輯語,來表示A和B都為正
[0219.57-0222.05] 並且運算結果F為負
[0222.35-0224.03] 這樣,我們就寫出了
[0224.03-0228.43] 若A和B都為正,且運算結果為負,則產生溢出
[0228.43-0232.22] 這種情況的溢出標誌OF的邏輯表達式
[0232.22-0235.10] 相信同學們可以自行寫出
[0235.10-0239.74] 若A和B都為負,且運算結果為正,則產生溢出
[0239.74-0243.18] 這種情況的溢出標誌OF的邏輯表達式
[0243.18-0246.77] 由於上述兩種情況,都會產生溢出
[0246.77-0251.17] 因此,將上述兩種情況的溢出標誌OF的邏輯表達式
[0251.17-0256.45] 進行邏輯獲,就可以得到OF最終的邏輯表達式
[0256.45-0260.08] 我們可以驗證一下這個邏輯表達式是否正確
[0260.08-0265.60] 首先驗證A和B都為正,且運算結果為負,則產生溢出
[0265.60-0271.84] 借A15和B15為0,F15為1,則OF因為1
[0271.84-0279.14] 再來驗證A和B都為負,且運算結果為正,則產生溢出
[0279.39-0285.15] 借A15和B15為1,F15為0,則OF因為1
[0285.15-0292.46] 題目還要求我們給出A-B時,溢出標誌OF的邏輯表達式
[0292.46-0297.26] 我們給出A和B進行減法運算時,產生溢出的情況
[0297.26-0302.11] 若A為正,B為負,則A-B的結果一定為正
[0302.11-0306.11] 因此,結果為負,則表明產生溢出
[0306.11-0310.75] 若A為負,B為正,則A-B的結果一定為負
[0310.83-0314.59] 因此,結果為正,則表明產生溢出
[0314.59-0320.43] 請同學們自行寫出這兩種情況下,溢出標誌OF的邏輯表達式
[0320.43-0325.79] 以及A和B進行減法運算時,OF最終的邏輯表達式
[0325.79-0330.72] 請同學們暫停播放視頻,務必動手練習一下
[0330.72-0339.78] 相信同學們都能正確完成,我們就不再墜速了
[0339.78-0345.04] 至此,本大題的第一小題解析完畢
[0345.26-0347.98] 實際上有關溢出檢測的問題
[0347.98-0352.78] 我們在第三章有關補碼家庭法運算的溢出檢測的那些特徵
[0352.78-0354.78] 就可以同學們介紹過了
[0354.78-0358.14] 忘記了的同學,請快速複習一遍
[0358.14-0361.04] 再來分析本大題的第二小題
[0361.04-0364.48] 提名要求我們給出該硬件框圖中
[0364.48-0369.90] 為算數邏輯單元ALU配套提供暫存器Y和Z的原因
[0369.90-0372.94] 這個問題我們已經遇到過多次了
[0372.94-0375.42] 相信同學們早已記住了
[0375.58-0379.74] 例如,這是我們理論課舉例所用到的硬件框圖
[0379.74-0384.86] 在該圖中,就為ALU配套提供了兩個暫存記存器
[0384.86-0393.57] 又例如,這是我們在之前的第一次綜合奇迪課所練習過的2009年的題44
[0393.57-0399.89] 在該題的硬件框圖中,也為ALU配套提供了兩個暫存記存器
[0399.89-0405.60] 又例如,這是我們在之前的第二次綜合奇迪課所練習過的
[0405.80-0407.90] 2015年的題43
[0408.12-0410.92] 該題還專門要求我們回答
[0410.92-0414.74] 給ALU配套提供暫存記存器T的原因
[0414.74-0420.12] 另外,該題為ALU配套提供的另一個暫存記存器
[0420.12-0423.56] 還具有左翼翼翼和右翼翼翼翼翼翼的功能
[0423.56-0428.80] 對於本題,ALU的操作數A和B以及運算解 Delft
[0428.80-0431.62] 都需要經過單種線來傳送
[0431.62-0438.94] A和B不能同时通过单总线传送给LU,这样会造成总线数据冲突。
[0438.94-0449.34] A和B需要分时通过单总线传送给LU,这样就需要暂存器外、暂存其中一个操作数,例如A。
[0449.34-0459.62] 当另一个操作数,例如B,通过单总线传送到LU的另一个输入端号,会立即运算并产生运算结果F。
[0459.62-0470.30] 在上述过程所在的十中周期,单总线正被占用,也就是被操作数B占用,因此需要暂存器Z来暂存F。
[0470.30-0477.31] 这次,本大题的第二小题解答完毕,再来分析本大题的第三小题。
[0477.31-0486.44] 该小题第一问要求我们回答,通用计存器组及PRS中最多有多少个通用计存器?
[0486.60-0494.36] 请不给定,RS和RD分别是所读、写的通用计存器的编号,如读所示。
[0494.36-0500.05] 从图中可以看出,RS和RD均为四位。
[0500.05-0509.05] 从上所说,通用计存器组中的通用计存器最多有2的四字方等于16个编号从0到15。
[0509.05-0515.01] 这是因为,四个二进之位和有2的四字方等于16个不同的组合状态。
[0515.33-0523.97] 每个组合状态作为一个通用计存器的编号,编号4个0到4个1,也就是实际计数0到15。
[0523.97-0530.62] 该小题第二问要求我们回答,RS和RD来自图中的哪个计存器?
[0530.62-0541.70] 我们在之前的理论课中,曾给同学们举例了一些MIX32的典型指令,这些指令中就包含有RS、RD等字段。
[0542.83-0552.99] 并且,我们还在这份硬件框图中分析了某些MIX32指令的数据通路,其中也涉及到了RS、RD等字段。
[0552.99-0569.28] 因此,对于本题,我们不能想到RS和RD来自图中的指令计存器R,因为RS和RD就是指令中的两个字段,而指令计存器R中存放的就是指令。
[0569.74-0576.62] 该小题第三问要求我们回答,RD应连接地址一码器还是多路选择器?
[0576.62-0587.04] 在该小题第二问中,我们已经分析出了,通用计存器组内部包含有0到15号共16个通用计存器。
[0587.04-0592.52] 题目给定,RD为所要写入内容的通用计存器的编号共4位。
[0592.76-0609.68] 根据我们在第四章存主系统,有关用于地址一码的一码结构的那些课所学的知识可知,RD应连接地址一码器的输入端,而地址一码器的一码输出端,用于选中所要写入信息的通用计存器。
[0609.68-0624.25] 例如,当RD为4个零时,经过地址一码器的一码输出相应的一码信号,1表示选中,0表示不选中,这样0号通用计存器被选中写入信息。
[0624.25-0639.30] 又例如,当RD为001时,经过地址一码器的一码输出相应的一码信号,1表示选中,0表示不选中,这样1号通用计存器被选中写入信息。
[0639.71-0646.91] 请同学们思考一下,作为要读取内容的通用计存器的编号RS,应该如何连接呢?
[0646.91-0661.88] 请同学们结合题目给令的多路选择器来考虑,RS应连接到多路选择器的选择控制端,用于选择将哪一路输入进行输出。
[0661.88-0670.63] 例如,当RD为4个零时,编号为0的通用计存器的内容被选择通过多路选择器进行输出。
[0670.63-0679.79] 又例如,当RS为001时,编号为1的通用计存器的内容被选择通过多路选择器进行输出。
[0679.79-0686.86] 至此,本大题的第三小题解析完毕,再来分析本大题的第四小题。
[0686.86-0695.43] 题目要求我们给出,取指令阶段的控制信号序列是什么?不考虑程序记录器PC的增量操作。
[0695.43-0709.45] 经过理论课的学习,以及前两次综合系理课的练习,相信同学们对基于CPU内部单种线基本结构进行取指操作,所经过的数据通路已经非常熟悉了。
[0709.45-0721.26] 这是取指阶段的第一步操作所需的相应控制信号,由于控制信号PCOUT为有效信号,因此,其所控制的三太门打开。
[0721.46-0726.98] 程序记录器PC的纸通过该三太门送入CPU内部单种线。
[0726.98-0742.29] 经过单种线的传送,PC的纸会传送到存主器地址基准器MAR,由于控制信号MAR硬为有效信号,因此,经过单种线传送来的PC纸会被写入MAR。
[0742.51-0763.30] MAR的内容会直接传送到系统总线中的地址总线,经过地址总线的传送,送到主存的地址输入端,因此,经过取指阶段的第一步操作,指令的地址,也就是PC的纸,被送入MAR,进而送到了主存的地址输入端。
[0763.62-0788.06] 我们将其记录如下,需要说明的是,根据CPU内部单种线的策性,单种线上的信号可以传送到所有与单种线连接的专用或从用基团器、基团器组、赞团器、LU的输入端等,为了简单起见,我们仅画出了每个步骤,单种线到相关的基团器的通路。
[0788.73-0817.37] 这是取指阶段的第二步操作,所需的相应控制信号,也就是主存独控制信号,该控制信号通过系统总线中的控制总线,传送到主存的独控制输入端,因此,主存中由地址输入端所输入地址,也就是PC的纸,所指定的主存单用的内容,也就是所取指令,从主存的数据端口输出到系统总线中的数据总线。
[0817.69-0823.29] 经过数据总线,送入CPU内部的存储器、数据计存器MBR中,
[0823.29-0833.86] 至此,经过取指阶段的第二步操作,从主存中读取到的PC所指向存储单元中的指令,被写入MBR。
[0833.86-0845.10] 我们将其记录如下,这是取指阶段的第三步操作所需的相应控制信号,由于控制信号MBR OUT为有效信号,
[0845.42-0854.78] 因此,其所控制的三态门打开,存储器数据计存器MBR的内容,也就是之前从主存取出的指令,
[0854.78-0868.68] 通过该三态门送入CPU内部单总线,经过单总线的传送,MBR的内容会传送到指令计存器R,由于控制信号RIN为有效信号。
[0868.84-0882.31] 因此,单总线上传送来的MBR的内容,会被写入指令计存器R,此时,R的内容就是之前从主存中取出并送入到MBR的指令。
