[0003.38-0007.86] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0007.86-0013.46] 本节课,我们介绍SRAM的存储员扩展和存储阵列扩展
[0013.46-0020.42] 在上级课中,我们给同学们介绍了SRAM的存储员的构成和工作原理
[0020.42-0025.49] 然而,一个存储员只能存储一位二净之信息
[0025.49-0032.13] 在实际的SRAM存储芯片的存储体中,往往包含有多个存储员
[0032.37-0037.01] 这是需要进行存储员扩展,形成存储阵列
[0037.01-0044.48] 甚至还需要对存储阵列进行扩展,最终构成SRAM存储芯片的存储体
[0044.48-0051.87] 那么,本节课就是介绍SRAM的存储员扩展和存储阵列扩展的相关知识
[0051.87-0054.27] 首先介绍存储员扩展
[0054.27-0062.05] 我们上级课给同学们介绍的SRAM存储员是一个典型的6摩斯管SRAM存储员
[0063.14-0066.74] 这样讲,可能有的同学会产生疑问了
[0066.74-0071.17] 这两个摩斯管难道不算入一个SRAM存储员中吗?
[0071.17-0079.82] 实际上,在进行存储员扩展时,同一列的多个存储员会共向这两个摩斯管
[0079.82-0085.50] 因此,通常不会将这两个摩斯管算入一个SRAM存储员中
[0085.50-0090.75] 为了方便绘制存储员扩展形成的存储阵列
[0090.91-0096.67] 我们需要使用存储员的符号进行表示,以屏蔽题构成细节
[0096.67-0102.59] 现在,我们就可以绘制由存储员扩展形成的存储阵列了
[0102.59-0109.12] 如同所示,我们将N乘N个存储员排不成N行N列
[0109.12-0115.01] 将每一行的N个存储员各自的行选同线并连在一起
[0115.01-0117.57] 形成这一行的选同线
[0117.73-0129.38] 如同所示,将每一列的N个存储员各自的位线并连在一起
[0129.38-0142.27] 如同所示,请同学们注意,每个存储员都有D和D反两条位线
[0142.27-0147.71] 并且,每一列的所有存储员都共享我们之前解释过的
[0147.71-0151.07] 不算入当个存储员的那两个摩斯管
[0151.07-0155.39] 而这两个摩斯管由这一列的列选同线控制
[0156.14-0159.50] 将每一列存储员并连后的位线D
[0159.50-0162.06] 经过该列相应的摩斯管
[0162.06-0165.79] 在并连在一起送入IOW电路
[0165.79-0170.59] 同理,将每一列存储员并连后的位线D反
[0170.59-0172.75] 经过该列相应的摩斯管
[0172.75-0176.70] 在并连在一起也送入IOW电路
[0176.70-0180.22] 这样我们就完成了存储员的扩展
[0180.22-0185.38] 包含X0到Xn-1共N条行选同线
[0185.54-0190.48] X0到Xn-1共N条列选同线
[0190.48-0193.34] 选同线合计有2N条
[0193.34-0196.38] 包含N乘N个存储员
[0196.38-0200.21] 这样就形成了一个存储阵列
[0200.21-0201.89] 请同学们注意
[0201.89-0205.33] 同一时刻只能有一条行选同线
[0205.33-0209.18] 和一条列选同线输出有效信号
[0209.18-0213.06] 因此只能有一个存储员被选中
[0213.14-0217.55] 也就是一次只能访问一位二净之数据
[0217.55-0219.79] 我们来举例说明
[0219.79-0222.91] 所有行选中线输出无效信号
[0222.91-0224.67] 也就是低电平
[0224.67-0227.07] 我们用零来表示
[0227.07-0230.99] 此时所有存储员内部的T5和T6
[0230.99-0233.07] 这两个摩斯管截止
[0233.07-0234.91] 忘记了的同学
[0234.91-0238.03] 请快速做回到本节课一开始
[0238.03-0243.60] 我们回过上节课介绍的存储员的构成的纳术图
[0243.68-0247.15] 所有列选同线输出无效信号
[0247.15-0252.85] 此时每一列所有存储员共享的那两个摩斯管截止
[0252.85-0258.90] 现在假设要读取该存储员所存储的一位二净之数据
[0258.90-0264.26] 则需要该存储员所在行的行选同线输出有效信号
[0264.26-0266.02] 也就是高电平
[0266.02-0268.30] 我们用一来表示
[0268.30-0272.70] 此时该行所有存储员内部的T5和T6
[0272.78-0275.01] 这两个摩斯管导通
[0275.01-0281.66] 另外还需要该存储员所在列的列选同线输出有效信号
[0281.66-0287.26] 此时该列所有存储员共享的那两个摩斯管导通
[0287.26-0290.14] 这样该存储员所存储的内容
[0290.14-0295.26] 就可以通过这一列所有存储员并连在一起的微线地
[0295.26-0298.96] 和微线地反输出的Io电路
[0299.04-0305.17] 经过Io电路输出该存储员所存储的一位二净之数据
[0305.17-0307.89] 接下来请同学们思考一下
[0307.89-0314.34] 如何能实现一次访问多个存储员呢?
[0314.34-0316.18] 方法非常简单
[0316.18-0318.90] 相信很多同学都能想到
[0318.90-0323.38] 那就是将多个存储阵列的行选同线并连
[0323.38-0325.62] 列选同线并连
[0325.62-0329.30] 这就是所谓的存储阵列扩展
[0329.30-0331.30] 我们来举例说明
[0331.38-0333.62] 这是一个我们刚刚介绍过的
[0333.62-0336.75] N乘N位的存储阵列的符号
[0336.75-0339.31] 这是N条行选同线
[0339.31-0341.79] 这是N条列选同线
[0341.79-0347.25] 而两条微线通过Io电路进行输入输出
[0347.25-0350.69] 我们再增加三个这样的存储阵列
[0350.69-0354.34] 一共四个这样的存储阵列进行扩展
[0354.34-0361.58] 只要将这四个存储阵列的行选同线进行相应的并连
[0361.66-0367.39] 列选同线进行相应的并连
[0367.39-0370.03] 通过上述存储阵列扩展后
[0370.03-0371.95] 形成的存储体
[0371.95-0374.51] 其存储制常为四位
[0374.51-0377.15] 也就是一次性可以输入输出
[0377.15-0379.42] 四位二进之数据
[0379.42-0383.18] 其存储容量为N乘N个存储字
[0383.18-0385.50] 请同学们不要搞糊涂了
[0385.50-0387.18] 不是N乘N位
[0387.18-0391.30] 而是N乘N个四位的存储字
[0391.30-0392.18] 好的
[0392.18-0394.74] 本节课到这里就结束了
[0394.74-0409.82] 请同学们快速回忆一下本节课的主要内容
[0409.82-0410.70] 同学们
[0410.70-0412.38] 我们下节课见
